,uri,name,alternative_name,description,entity,entity_of_interest,characteristic,trait,trait_name,method,unit,species,time_interval,sampling_interval,datatype,exact_match,close_match,broad_match,narrow_match,publisher,publication_date,last_updated_date,from_shared_resource_instance,status
10,field:id/variable/soil_watercontent_measurement50-60cm_millimetre,soil_waterContent_measurement50-60cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement50-60cm', 'name': 'measurement50-60cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#integer,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:20.987238+02:00,,,Variable created
11,field:id/variable/soil_watercontent_measurement60-70cm_millimetre,soil_waterContent_measurement60-70cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement60-70cm', 'name': 'measurement60-70cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:21.359598+02:00,,,Variable created
12,field:id/variable/soil_watercontent_measurement70-80cm_millimetre,soil_waterContent_measurement70-80cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement70-80cm', 'name': 'measurement70-80cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:21.662540+02:00,,,Variable created
13,field:id/variable/soil_watercontent_measurement80-90cm_millimetre,soil_waterContent_measurement80-90cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement80-90cm', 'name': 'measurement80-90cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:21.954944+02:00,,,Variable created
14,field:id/variable/soil_watercontent_measurement90-100cm_millimetre,soil_waterContent_measurement90-100cm_millimetre,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content', 'name': 'waterContent'}",,,"{'uri': 'field:id/variable/method.measurement90-100cm', 'name': 'measurement90-100cm'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/millimetre', 'name': 'millimetre', 'description': 'The millimetre is a unit of length defined as 1.0e-3 metre.', 'symbol': 'mm', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:22.275876+02:00,,,Variable created
15,field:id/variable/soil_waterpotential_measurement10cm_kilopascal,soil_waterPotential_measurement10cm_kilopascal,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'opensilex-sandbox:id/variable/characteristic.water_tension', 'name': 'waterPotential'}",,,"{'uri': 'field:id/variable/method.measurement10cm', 'name': 'measurement10cm'}","{'uri': 'field:id/variable/unit.kilopascal', 'name': 'Kilopascal', 'description': None, 'symbol': 'kPa', 'alternative_symbol': None, 'exact_match': ['http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Kilopascal'], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': datetime.datetime(2025, 6, 9, 23, 53, 59, 318872, tzinfo=tzoffset(None, 7200)), 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:22.575444+02:00,,,Variable created
16,field:id/variable/soil_waterpotential_measurement20cm_kilopascal,soil_waterPotential_measurement20cm_kilopascal,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'opensilex-sandbox:id/variable/characteristic.water_tension', 'name': 'waterPotential'}",,,"{'uri': 'field:id/variable/method.measurement20cm', 'name': 'measurement20cm'}","{'uri': 'field:id/variable/unit.kilopascal', 'name': 'Kilopascal', 'description': None, 'symbol': 'kPa', 'alternative_symbol': None, 'exact_match': ['http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Kilopascal'], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': datetime.datetime(2025, 6, 9, 23, 53, 59, 318872, tzinfo=tzoffset(None, 7200)), 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:22.893761+02:00,,,Variable created
17,field:id/variable/soil_waterpotential_measurement30cm_kilopascal,soil_waterPotential_measurement30cm_kilopascal,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'opensilex-sandbox:id/variable/characteristic.water_tension', 'name': 'waterPotential'}",,,"{'uri': 'field:id/variable/method.measurement30cm', 'name': 'measurement30cm'}","{'uri': 'field:id/variable/unit.kilopascal', 'name': 'Kilopascal', 'description': None, 'symbol': 'kPa', 'alternative_symbol': None, 'exact_match': ['http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Kilopascal'], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': datetime.datetime(2025, 6, 9, 23, 53, 59, 318872, tzinfo=tzoffset(None, 7200)), 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:23.219437+02:00,,,Variable created
18,field:id/variable/soil_waterpotential_measurement40cm_kilopascal,soil_waterPotential_measurement40cm_kilopascal,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'opensilex-sandbox:id/variable/characteristic.water_tension', 'name': 'waterPotential'}",,,"{'uri': 'field:id/variable/method.measurement40cm', 'name': 'measurement40cm'}","{'uri': 'field:id/variable/unit.kilopascal', 'name': 'Kilopascal', 'description': None, 'symbol': 'kPa', 'alternative_symbol': None, 'exact_match': ['http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Kilopascal'], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': datetime.datetime(2025, 6, 9, 23, 53, 59, 318872, tzinfo=tzoffset(None, 7200)), 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:23.555329+02:00,,,Variable created
19,field:id/variable/soil_waterpotential_measurement60cm_kilopascal,soil_waterPotential_measurement60cm_kilopascal,,,"{'uri': 'soilhttp://purl.obolibrary.org/obo/ENVO_00001998', 'name': 'soil'}",,"{'uri': 'opensilex-sandbox:id/variable/characteristic.water_tension', 'name': 'waterPotential'}",,,"{'uri': 'field:id/variable/method.measurement60cm', 'name': 'measurement60cm'}","{'uri': 'field:id/variable/unit.kilopascal', 'name': 'Kilopascal', 'description': None, 'symbol': 'kPa', 'alternative_symbol': None, 'exact_match': ['http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Kilopascal'], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': datetime.datetime(2025, 6, 9, 23, 53, 59, 318872, tzinfo=tzoffset(None, 7200)), 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:24.000844+02:00,,,Variable created
20,field:id/variable/supply_voltage_measurement_volt,supply_voltage_measurement_volt,,,"{'uri': 'http://purl.obolibrary.org/obo/ENVO_00002005', 'name': 'air'}",,"{'uri': 'field:id/variable/characteristic.voltage', 'name': 'Voltage'}",,,"{'uri': 'field:id/variable/method.measurement', 'name': 'Measurement'}","{'uri': 'http://www.ontology-of-units-of-measure.org/resource/om-2/volt', 'name': 'volt', 'description': 'The volt is a unit of electric potential defined as watt divided by ampere = joule divided by coulomb = newton times metre divided by ampere times second = kilogram times square metre divided by ampere times second to the power 3.', 'symbol': 'V', 'alternative_symbol': None, 'exact_match': [], 'close_match': [], 'broad_match': [], 'narrow_match': [], 'publisher': None, 'publication_date': None, 'last_updated_date': None, 'from_shared_resource_instance': None}",[],,,http://www.w3.org/2001/XMLSchema#decimal,[],[],[],[],"{'uri': 'field:id/user/account.adminopensilexorg', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'field:id/user/person.admin.admin', 'enable': True, 'favorites': None}",2025-06-10 15:56:24.330628+02:00,,,Variable created
21,,,,,,,,,,,,,,,,,,,,,,,,Not created because the entity is missing
22,,,,,,,,,,,,,,,,,,,,,,,,Not created because the entity is missing
